,link,title,city,price,bouwjaar,kamers,woonlagen,woonen_m2,perceel_m2,makelaars,makelaars_phone
130,https://www.funda.nl/koop/enschede/huis-41745092-pitruslaan-36/,Pitruslaan 36 7534 JA Enschede ,enschede,485000,1998,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,184.0,497,Thoma Post Makelaars Enschede,053-4340038
357,https://www.funda.nl/koop/enschede/huis-87214370-waterdriebladlaan-37/,Waterdriebladlaan 37 7534 KA Enschede ,enschede,367033,1998,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,164.0,308,iQ Makelaars,088-7009999
106,https://www.funda.nl/koop/enschede/huis-41902738-mannagraslaan-34/,Mannagraslaan 34 7534 JD Enschede ,enschede,275000,1998,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,141.0,200,Bles & Van der Does Makelaardij B.V.,053-8001010
316,https://www.funda.nl/koop/enschede/huis-41830822-perikplein-105/,Perikplein 105 7512 JB Enschede ,enschede,269000,1997,6 kamers (4 slaapkamers),1 apart toilet,129.0,130,ten Hag Makelaarsgroep,053-8506070
43,https://www.funda.nl/koop/enschede/huis-41900713-fre-cohenlaan-21/,Fré Cohenlaan 21 7545 RS Enschede ,enschede,369000,1997,6 kamers (4 slaapkamers),1 badkamer,139.0,191,Euverman & Nuyts Enschede,053-488 59 95
319,https://www.funda.nl/koop/enschede/huis-41906055-livingstonestraat-12/,Livingstonestraat 12 7532 CJ Enschede ,enschede,289500,1996,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,145.0,223,Esther van Benthem makelaar o.g.,053-4342500
117,https://www.funda.nl/koop/enschede/huis-41969502-ruwenbos-30/,Ruwenbos 30 7543 GA Enschede ,enschede,250000,1996,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,126.0,210,Keuter Makelaars,053-20 30 123
58,https://www.funda.nl/koop/enschede/huis-85659868-livingstonestraat-11/,Livingstonestraat 11 7532 CJ Enschede ,enschede,385000,1995,5 kamers (3 slaapkamers),2 aparte toiletten,134.0,742,EXTRA Makelaars,053-4304304
122,https://www.funda.nl/koop/enschede/huis-41983913-mariendaal-97/,Mariëndaal 97 7544 NG Enschede ,enschede,387500,1995,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,142.0,295,Prisma Makelaars Enschede B.V.,053-8200888
213,https://www.funda.nl/koop/enschede/huis-87212222-wooldriksweg-42/,Wooldriksweg 42 7512 AS Enschede ,enschede,425000,1995,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,166.0,382,EXTRA Makelaars,053-4304304
105,https://www.funda.nl/koop/enschede/huis-41844369-oostburgweg-32/,Oostburgweg 32 7533 BC Enschede ,enschede,250000,1995,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,191.0,650,Euverman & Nuyts Enschede,053-488 59 95
75,https://www.funda.nl/koop/enschede/huis-41957473-het-oosterveld-16-a/,Het Oosterveld 16 a 7544 EL Enschede ,enschede,209000,1993,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,126.0,152,Snelder Zijlstra Makelaars,053 485 22 22
180,https://www.funda.nl/koop/enschede/huis-87355082-park-broekheurne-34/,Park Broekheurne 34 7544 NK Enschede ,enschede,479000,1993,4 kamers (3 slaapkamers),1 badkamer,159.0,607,De Huizenbemiddelaar Twente,074-7002166
292,https://www.funda.nl/koop/enschede/huis-87212276-franklinplein-21/,Franklinplein 21 7533 CH Enschede ,enschede,300000,1993,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,141.0,240,EXTRA Makelaars,053-4304304
322,https://www.funda.nl/koop/enschede/huis-41829211-usselerhofweg-8/,Usselerhofweg 8 7548 RZ Enschede ,enschede,425000,1992,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,148.0,605,Makelaardij Meerman,053 - 428 24 44
62,https://www.funda.nl/koop/enschede/huis-41817717-lage-bothofstraat-337/,Lage Bothofstraat 337 7533 AS Enschede ,enschede,369000,1989,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,144.0,720,Vera Welker Makelaars,(+31) 53 760 11 11
14,https://www.funda.nl/koop/enschede/huis-87348519-smuddeboshoek-15/,Smuddeboshoek 15 7546 GB Enschede ,enschede,475000,1988,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,196.0,285,EXTRA Makelaars,053-4304304
11,https://www.funda.nl/koop/enschede/huis-41907229-grimberghoek-84/,Grimberghoek 84 7546 HG Enschede ,enschede,317500,1988,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,142.0,256,Prisma Makelaars Enschede B.V.,053-8200888
309,https://www.funda.nl/koop/enschede/huis-41490099-zomerweg-151/,Zomerweg 151 7532 RB Enschede ,enschede,475000,1983,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,127.0,1.200,Euverman & Nuyts Enschede,053-488 59 95
201,https://www.funda.nl/koop/enschede/huis-41559303-jw-racerstraat-11/,J.W. Racerstraat 11 7514 AV Enschede ,enschede,395000,1978,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,184.0,244,Vera Welker Makelaars,(+31) 53 760 11 11
139,https://www.funda.nl/koop/enschede/huis-87351405-bultsweg-92/,Bultsweg 92 7532 XJ Enschede ,enschede,292500,1978,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,181.0,269,iQ Makelaars,088-7009999
90,https://www.funda.nl/koop/enschede/huis-41994788-kemnalanden-49/,Kemnalanden 49 7542 HM Enschede ,enschede,315000,1977,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,134.0,214,Snelder Zijlstra Makelaars,053 485 22 22
159,https://www.funda.nl/koop/enschede/huis-41997584-kalkerlanden-26/,Kalkerlanden 26 7542 WG Enschede ,enschede,239000,1976,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,145.0,168,Snelder Zijlstra Makelaars,053 485 22 22
307,https://www.funda.nl/koop/enschede/huis-87138738-hanenberglanden-348/,Hanenberglanden 348 7542 EK Enschede ,enschede,175000,1976,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,130.0,117,Stuivenberg Makelaardij,053-4617858
55,https://www.funda.nl/koop/enschede/huis-41837569-keurslanden-43/,Keurslanden 43 7542 HK Enschede ,enschede,175000,1976,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,133.0,171,Prisma Makelaars Enschede B.V.,053-8200888
209,https://www.funda.nl/koop/enschede/huis-41961600-gronausestraat-1062/,Gronausestraat 1062 7534 AP Enschede ,enschede,349000,1976,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,204.0,404,Euverman & Nuyts Enschede,053-488 59 95
330,https://www.funda.nl/koop/enschede/huis-41891916-hanenberglanden-131/,Hanenberglanden 131 7542 EV Enschede ,enschede,164000,1976,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,128.0,108,Thoma Post Makelaars Enschede,053-4340038
217,https://www.funda.nl/koop/enschede/huis-41460060-saffierstraat-15/,Saffierstraat 15 7548 CC Enschede ,enschede,419000,1974,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,189.0,332,Makelaarsland,088-200 2000
279,https://www.funda.nl/koop/enschede/huis-41816652-bizetlaan-6/,Bizetlaan 6 7522 KG Enschede ,enschede,450000,1974,8 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,199.0,335,Thoma Post Makelaars Enschede,053-4340038
84,https://www.funda.nl/koop/enschede/huis-40541605-assinklanden-89/,Assinklanden 89 7542 BB Enschede ,enschede,215000,1974,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,153.0,102,Makelaar1 Internetmakelaar,013 8200905
261,https://www.funda.nl/koop/enschede/huis-41802504-schipperhorst-24/,Schipperhorst 24 7531 EW Enschede ,enschede,375000,1974,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,138.0,269,Keuter Makelaars,053-20 30 123
280,https://www.funda.nl/koop/enschede/huis-41826120-weldinkhorst-43/,Weldinkhorst 43 7531 EJ Enschede ,enschede,300000,1973,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,146.0,198,Snelder Zijlstra Makelaars,053 485 22 22
193,https://www.funda.nl/koop/enschede/huis-41820212-sanderinklanden-9/,Sanderinklanden 9 7542 CT Enschede ,enschede,229500,1972,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,130.0,162,HUYSSHOP Internetmakelaar,
356,https://www.funda.nl/koop/enschede/huis-87214542-herikebrink-67/,Herikebrink 67 7544 ES Enschede ,enschede,325000,1972,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,158.0,251,iQ Makelaars,088-7009999
329,https://www.funda.nl/koop/enschede/huis-41966660-kampioenstraat-12/,Kampioenstraat 12 7535 BJ Enschede ,enschede,325000,1972,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,131.0,241,Euverman & Nuyts Enschede,053-488 59 95
343,https://www.funda.nl/koop/enschede/huis-41909647-stokkumbrink-48/,Stokkumbrink 48 7544 EC Enschede ,enschede,240000,1971,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,135.0,261,Snelder Zijlstra Makelaars,053 485 22 22
37,https://www.funda.nl/koop/enschede/huis-41837432-chopinplein-7/,Chopinplein 7 7522 KK Enschede ,enschede,300000,1968,8 kamers (7 slaapkamers),1 badkamer en 2 aparte toiletten,153.0,176,Makelaarsland,088-200 2000
190,https://www.funda.nl/koop/enschede/huis-41910271-beckumerstraat-46-46a/,Beckumerstraat 46 46a 7548 BG Enschede ,enschede,309000,1968,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,150.0,160,Thoma Post Makelaars Enschede,053-4340038
69,https://www.funda.nl/koop/enschede/huis-41909330-horstlindelaan-4/,Horstlindelaan 4 7522 JD Enschede ,enschede,285000,1968,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,134.0,287,Thoma Post Makelaars Enschede,053-4340038
341,https://www.funda.nl/koop/enschede/huis-87217782-haydnlaan-37/,Haydnlaan 37 7522 HD Enschede ,enschede,400000,1966,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,208.0,495,EXTRA Makelaars,053-4304304
123,https://www.funda.nl/koop/enschede/huis-41910179-thomas-de-keyserstraat-276/,Thomas de Keyserstraat 276 7545 AH Enschede ,enschede,225000,1964,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,133.0,190,Keuter Makelaars,053-20 30 123
29,https://www.funda.nl/koop/enschede/huis-41990634-beethovenlaan-22/,Beethovenlaan 22 7522 HJ Enschede ,enschede,475000,1964,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,219.0,545,Euverman & Nuyts Enschede,053-488 59 95
336,https://www.funda.nl/koop/enschede/huis-41630450-multatulistraat-18/,Multatulistraat 18 7514 CZ Enschede ,enschede,385000,1961,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,133.0,254,Thoma Post Makelaars Enschede,053-4340038
174,https://www.funda.nl/koop/enschede/huis-41802744-daendelsstraat-24/,Daendelsstraat 24 7535 CG Enschede ,enschede,375000,1961,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,135.0,88,Vera Welker Makelaars,(+31) 53 760 11 11
287,https://www.funda.nl/koop/enschede/huis-87102735-drienerbrakenweg-2/,Drienerbrakenweg 2 7522 PD Enschede ,enschede,459000,1960,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,134.0,1.350,EXTRA Makelaars,053-4304304
100,https://www.funda.nl/koop/enschede/huis-41823109-lijsterstraat-6/,Lijsterstraat 6 7523 ET Enschede ,enschede,325000,1960,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,151.0,266,Thoma Post Makelaars Enschede,053-4340038
253,https://www.funda.nl/koop/enschede/huis-41874969-wissinksdijk-110/,Wissinksdijk 110 7548 PD Enschede ,enschede,398000,1958,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,144.0,1.170,Makelaardij Meerman,053 - 428 24 44
251,https://www.funda.nl/koop/enschede/huis-41824367-haaksbergerstraat-588/,Haaksbergerstraat 588 7545 GE Enschede ,enschede,275000,1958,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,136.0,179,ten Hag Makelaarsgroep,053-8506070
157,https://www.funda.nl/koop/enschede/huis-41919129-van-der-waalslaan-1/,Van der Waalslaan 1 7535 CN Enschede ,enschede,350000,1958,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,149.0,290,Thoma Post Makelaars Enschede,053-4340038
342,https://www.funda.nl/koop/enschede/huis-41956756-varviksingel-219/,Varviksingel 219 7512 EM Enschede ,enschede,275000,1958,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,151.0,216,Thoma Post Makelaars Enschede,053-4340038
348,https://www.funda.nl/koop/enschede/huis-87139718-pijlhovestraat-43/,Pijlhovestraat 43 7521 VS Enschede ,enschede,335000,1957,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,152.0,390,EXTRA Makelaars,053-4304304
304,https://www.funda.nl/koop/enschede/huis-41778710-haaksbergerstraat-405/,Haaksbergerstraat 405 7545 GL Enschede ,enschede,419000,1957,8 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,220.0,519,Peter W.M. Schiphorst Makelaardij,074-2470111
2,https://www.funda.nl/koop/enschede/huis-40057880-oliemolensingel-262/,Oliemolensingel 262 7511 BG Enschede ,enschede,495000,1957,10 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,218.0,657,Thoma Post Makelaars Enschede,053-4340038
249,https://www.funda.nl/koop/enschede/huis-87997843-ijsbaanweg-139/,IJsbaanweg 139 7547 AH Enschede ,enschede,375000,1956,6 kamers (2 slaapkamers),1 badkamer,257.0,1.585,Makelaardij Noordbarge,0591 644677
